"x", "y", "value"
4,18,1587.3441739616278
4,19,1765.8100031733666
4,20,1809.3012562827712
4,21,1597
5,0,5
5,1,44.07888409557738
5,2,81.39436806674844
5,3,116.69647027119747
5,4,150.2029249699829
5,5,182.59221504456934
5,6,214.98150512084175
5,7,248.89637798415077
5,8,286.24057099764264
5,9,329.2676425218425
5,10,380.54267114448385
5,11,442.86453896591524
5,12,519.0928261062979
5,13,611.7855995715315
5,14,722.5015655459706
5,15,850.5563264619448
5,16,990.9710216608138
5,17,1131.385716859658
5,18,1248.0054212013858
5,19,1301.5461042824004
5,20,1236.1156181013741
5,21,987
6,0,8
6,1,55.72305906575252
6,2,100.46893067973814
6,3,141.7596578299528
6,4,179.70708697451448
6,5,214.98150512084175
6,6,248.73034048344806
6,7,282.4791758481903
6,8,318.030831930134
6,9,357.3644507346254
6,10,402.5215100005594
6,11,455.44952928734847
6,12,517.7555935374425
6,13,590.3008005028694
6,14,672.5461524922689
6,15,761.5512394771815
6,16,850.556326462061
6,17,927.201479170509
6,18,971.7456897018574
6,19,956.2533746559295
6,20,846.6151118403247
6,21,610
7,0,13
7,1,70.34442148913887
7,2,122.9986377564988
7,3,170.16614339856656
7,4,211.88425997728044
7,5,248.8963779859888
7,6,282.4791758481904
7,7,314.259152997391
7,8,346.0391301491233
7,9,379.6378184859658
7,10,416.72938884541423
7,11,458.65647464547686
7,12,506.17921826263563
7,13,559.1158564102354
7,14,615.8310044513647
7,15,672.546152492452
7,16,722.501565546255
7,17,755.1181836584594
7,18,755.5224837837568
7,19,705.1065927991359
7,20,584.0914546054206
7,21,377
8,0,21
8,1,89.65598913430415
8,2,151.015055461703
8,3,204.02201803053416
8,4,248.76743155607397
8,5,286.24057099764264
8,6,318.0308319323955
8,7,346.03913014912337
8,8,372.22871718571935
8,9,398.4183042251531
8,10,426.10175224965496
8,11,456.26776219714856
8,12,489.18894845738794
8,13,524.1524024339706
8,14,559.1158564105027
8,15,590.3008005033017
8,16,611.7855995720479
8,17,615.2472061392849
8,18,590.1194689755748
8,19,524.5590581545565
